Designator,Mid X,Mid Y,Rotation,Layer
C1,114.671349,-56.896,180.0,top
C2,113.4375,-77.724,180.0,top
C3,113.411,-73.787,180.0,top
Co1,114.808,-66.040049,90.0,top
D1,136.144,-47.752,90.0,top
D2,121.92,-62.484,90.0,top
F1,99.06,-66.04,90.0,top
J1,134.62,-35.56,90.0,top
L1,133.041,-74.676,0.0,top
PowerCtrl1,123.444,-41.006,0.0,top
R1,132.588,-67.437,0.0,top
R2,132.715,-62.992,0.0,top
Rsc1,132.461,-57.912,0.0,top
Rsense1,106.807,-62.103,90.0,top
Rsh1,104.1635,-48.387,180.0,top
Rsh2,104.2905,-44.069,0.0,top
Rsl1,109.9585,-48.26,180.0,top
Rsl2,109.8315,-43.942,180.0,top
Servo1,91.567,-35.926,0.0,top
Servo2,91.567,-48.895,0.0,top
Servo3,91.567,-60.833,0.0,top
Servo4,91.567,-73.533,0.0,top
Sw1,80.518,-36.3834,90.0,top
Sw2,80.391,-49.784,90.0,top
Sw3,80.518,-61.722,90.0,top
Sw4,80.518,-74.041,90.0,top
U1,124.968,-51.943,180.0,top
U2,120.777,-75.057,270.0,top
U3,107.1903,-40.64,0.0,top
Vbyp1,120.909,-32.385,90.0,top
